bgu.1.289	16	16	τοῦ	Ἁθὺρ	noun	τοῦ Ἁθὺρ καὶ τοῦ Ἁδριανοῦ
bgu.1.289	17	17	τοῦ	[Μεχεὶρ]	noun	τοῦ [Μεχεὶρ] καὶ τ[οῦ] Φαμεν[ὼ]θ
bgu.1.289	18	18	τ[οῦ]	Φαμεν[ὼ]θ	noun	τ[οῦ] Φαμεν[ὼ]θ καὶ τοῦ Φαρμοῦθι
bgu.1.289	18	19	τοῦ	Φαρμοῦθι	noun	τοῦ Φαρμοῦθι καὶ [τοῦ] [Παχὼν]
bgu.1.289	19	19	[τοῦ]	[Παχὼν]	noun	[τοῦ] [Παχὼν] καὶ τοῦ Παῧνι
bgu.1.289	20	20	τοῦ	Παῧνι	noun	τοῦ Παῧνι καὶ τοῦ Ἐπεὶφ
bgu.1.289	20	20	τοῦ	Ἐπεὶφ	noun	τοῦ Ἐπεὶφ καὶ τοῦ Μεσορ(ὴ)
bgu.1.289	21	21	τοῦ	Μεσορ(ὴ)	noun	τοῦ Μεσορ(ὴ) καὶ [τοῦ] [Θὼθ]
bgu.1.289	21	21	[τοῦ]	[Θὼθ]	noun	[τοῦ] [Θὼθ] τοῦ ιγ (ἔτους)
bgu.1.289	23	23	τοῦ	Φαῶφι	noun	τοῦ Φαῶφι καὶ τοῦ Ἁθὺρ
bgu.1.289	23	23	τοῦ	Ἁθὺρ	noun	τοῦ Ἁθὺρ καὶ τοῦ Ἁδριανοῦ
bgu.1.289	25	25	τοῦ	Τῦβι	noun	τοῦ Τῦβι καὶ τοῦ Μεχεὶρ
bgu.1.289	25	25	τοῦ	Μεχεὶρ	noun	τοῦ Μεχεὶρ καὶ τοῦ Φαμενὼθ
bgu.1.289	26	26	τοῦ	Φαμενὼθ	noun	τοῦ Φαμενὼθ καὶ τοῦ Φαρμοῦθι
bgu.1.289	26	27	τοῦ	Φαρμοῦθι	noun	τοῦ Φαρμοῦθι καὶ τοῦ Παχὼν
bgu.1.289	27	27	τοῦ	Παχὼν	noun	τοῦ Παχὼν καὶ τοῦ Παῧνὶ
bgu.1.289	28	28	τοῦ	Παῧνὶ	noun	τοῦ Παῧνὶ καὶ τοῦ Ἐπεὶφ
bgu.1.289	28	28	τοῦ	Ἐπεὶφ	noun	τοῦ Ἐπεὶφ καὶ τοῦ Μεσορ(ὴ)
bgu.1.289	29	29	τοῦ	Μεσορ(ὴ)	noun	τοῦ Μεσορ(ὴ) καὶ τοῦ Θὼθ
bgu.1.289	29	29	τοῦ	Θὼθ	noun	τοῦ Θὼθ τοῦ ιδ (ἔτους)
bgu.1.289	31	31	τοῦ	Φαῶφι	noun	τοῦ Φαῶφι καὶ τοῦ Ἁθὺρ
bgu.1.289	32	32	τοῦ	Ἁθὺρ	noun	τοῦ Ἁθὺρ Χοιὰχ καὶ τοῦ
bgu.1.289	32	33	τοῦ	Τῦ[βι]	noun	τοῦ Τῦ[βι] καὶ τοῦ Μεχε[ὶρ]
bgu.1.289	33	33	τοῦ	Μεχε[ὶρ]	noun	τοῦ Μεχε[ὶρ] [κ]αὶ τοῦ Φαμενὼθ
bgu.1.289	33	34	τοῦ	Φαμενὼθ	noun	τοῦ Φαμενὼθ [κα]ὶ τοῦ Φαρμοῦθι
bgu.1.289	34	34	τοῦ	Φαρμοῦθι	noun	τοῦ Φαρμοῦθι .
bgu.1.3_1	24	24-25	ἡ	ὁμολο-γία	noun	ἡ ὁμολο-γία καὶ ἐπερ(ωτηθεὶς) ὡμ(ολόγησα)
bgu.1.303_1	20	20	τῷ	Ἐπεὶφ	noun	τῷ Ἐπεὶφ μηνὶ τὰ ἄλλα
bgu.1.310	23	23	ἡ	ὁμολογία	noun	ἡ ὁμολογία καὶ ἐπερ(ωτηθεὶς) ὡμ(ολόγησα)
bgu.1.316	39	39	[τῷ]	[ἐ]ξουσίαν	noun	[τῷ] [ἐ]ξουσίαν ἔχειν τὸν πριάμενον
bgu.1.32	3	4	τοῦ	Ἐπεὶφ	noun	τοῦ Ἐπεὶφ τοῦ κγ (ἔτους)
bgu.1.39	14	15	τοῦ	Ταβει	noun	τοῦ Ταβει , τῶν σπερμάτν
bgu.1.44	10	10	τ[ῷ]	[Φ]αρμοῦθι	noun	τ[ῷ] [Φ]αρμοῦθι μηνὶ τοῦ ἐνεστῶτος
bgu.1.5_2	11	11	τοῦ	Φαὼφ	noun	τοῦ Φαὼφ μηνὸς τοῦ β
bgu.1.5_2	13	14	τοῦ	Ἁθὺρ	noun	τοῦ Ἁθὺρ μηνὸς τοῦ α
bgu.1.50_1	1	2	τε͂ι*	Σαμβᾶτος	noun	τε͂ι* Σαμβᾶτος μετὰ κυρίου τοῦ
bgu.1.50_1	11	11	τοῦ	Φαμενὼθ	noun	τοῦ Φαμενὼθ τοῦ ἐνεστῶτος ὀ[κτ]ωκαιδεκάτου
bgu.1.61_1	7	7	τοῦ	Παῧνι	noun	τοῦ Παῧνι μηνὸς τοῦ ἐνεστὸς*
bgu.1.64	5	5	τοῦ	Μεχεὶρ	noun	τοῦ Μεχεὶρ μηνὸς τοῦ ἐνεστῶτος
bgu.1.70	20	20	τῷ	Τυ[β]ὶ	noun	τῷ Τυ[β]ὶ μ[ην]ὶ τοῦ ἰσιόν[τ]ος*
bgu.1.76	11	11	ὁ	Στοτοήτιος	noun	ὁ Στοτοήτιος ἐπη|gap=unknown| εὑ̣[ρ]ησολογίαν* τ|gap=unknown|αμερις
bgu.1.8_2	26	26	τῆς	στρατηγοῖς	noun	τῆς στρατηγοῖς ἐπιστρατηγίας Ἑπτὰ νομῶν
bgu.1.87_1	3	3	τῇ	Σοκνοπ(αίου)	noun	τῇ Σοκνοπ(αίου) Ν[ήσ]ου* τῆ[ς] Ἡ[ρα]κλείδ[ο]υ
bgu.1.9_1	4	4	τῷ	Σεβήρου	noun	τῷ Σεβήρου (δραχμαὶ) η Κύριλος*
bgu.1.9_1	8	8	τῷ	Φακεινωπωλίων*	noun	τῷ Φακεινωπωλίων* [(δραχμαὶ)] [η] Ἀλεξατρος*
bgu.1.9_1	20	20	τῷ	Σεβήρου	noun	τῷ Σεβήρου (δραχμαὶ) ξ Διωνύσις
bgu.1.9_2	11	11	τῷ	Καπίτω[νος]	noun	τῷ Καπίτω[νος] (δραχμαὶ) μη ὑπὲρ
bgu.1.9_2	15	15	τῷ	Σεβήρου	noun	τῷ Σεβήρου (δραχμαὶ) κδ Ἡρακεδης*
bgu.1.9_2	18	18	τῷ	Καπίτωνος	noun	τῷ Καπίτωνος ⟦|gap=unknown|⟧ (δραχμαὶ) κδ
bgu.1.9_3	13	13	[τῷ]	Λύκου	noun	[τῷ] Λύκου (δραχμαὶ) |gap=1| Ἀκάμων
bgu.1.9_4	6	6	[τῷ]	[Θέωνος]	noun	[τῷ] [Θέωνος] [(δραχμαὶ)] |gap=2| Διωγ[ή]νη[ς]
bgu.1.9_4	7	7	[τῷ]	[Σεουήρου]	noun	[τῷ] [Σεουήρου] [(δραχμαὶ)] |gap=2| Κωπρε|gap=1||gap=unknown|
bgu.1.9_4	13	13	τῷ	Θέων[ος]	noun	τῷ Θέων[ος] |gap=unknown| Ἑρμειᾶς ἐν
bgu.1.9_4	16	16	τῷ	Σεβήρ[ου]	noun	τῷ Σεβήρ[ου] |gap=unknown| Εὐσέβι ἐν
bgu.1.91_2	13	13	τοῦ	Πανεσνέο̣υ̣ς̣	noun	τοῦ Πανεσνέο̣υ̣ς̣ ὁ(μοίως) ἔχ(ων) πόρ(ον)
bgu.1.94	23	23	[τὰ]	[Ῥωμαίων]	noun	[τὰ] [Ῥωμαίων] [ἔθη] [τέκνων] [δικαίῳ]
bgu.1.96_1	15	15	τὰ	Ῥωμαίων	noun	τὰ Ῥωμαίων ἔθη τέκνω(ν) [δικαίῳ]
bgu.1.96_1	21	21	[τὰ]	[Ῥωμαίων]	noun	[τὰ] [Ῥωμαίων] [ἔθη] [τέ]κνων δικαίῳ
bgu.10.1917_2	3	3	[τ]ο̣ῦ	Φαμενὼθ	noun	[τ]ο̣ῦ Φαμενὼθ |gap=unknown| τῆς ζυτη̣ρᾶς
bgu.10.1925_1	6	6	τοῦ	Διὸς	noun	τοῦ Διὸς ἃ προσ-[ἐω(νήσατο)] |gap=unknown|
bgu.10.1925_2	34	34	τοῦ̣	Π̣ε̣ρ̣[ὶ]	noun	τοῦ̣ Π̣ε̣ρ̣[ὶ] Θή(βας) α [κα]ὶ
bgu.10.1926_1	6	6	τῶι	Τ̣[ῦβι]	noun	τῶι Τ̣[ῦβι] |extra| [καὶ] Φαῶφ̣ι
bgu.10.1926_1	14	14	τοῦ	Περὶ	noun	τοῦ Περὶ Θή(βας) [ἣ]ν ἔθετο
bgu.10.1933	3	4	τοῦ	Ἀρχέβ̣ουλος	noun	τοῦ Ἀρχέβ̣ουλος σκηναγώγου (ἀρταβῶν) ψ
bgu.10.1937	1	1	τῆς	Οὐήριος	noun	τῆς Οὐήριος καὶ ἐν τοῖς̣
bgu.10.1943_1	5	5	[τῶι]	[Ἑρμίου]	noun	[τῶι] [Ἑρμίου] [Μα?]-κεδόνος τριακον̣τα̣ρ̣ούρου κ̣λ̣ήρωι
bgu.10.1943_2	27	27	τῶι	Ἑρμίου	noun	τῶι Ἑρμίου Μακεδόνος τριακονταρούρου κλήρω[ι]
bgu.10.1944_3	4	4	τῶ̣[ι]	[Ἀριστολόχου]	noun	τῶ̣[ι] [Ἀριστολόχου] μετρ̣ήσει δικαίαι καὶ
bgu.10.1944_6	4	4	[τῶ]ι	Ἀριστολόχου	noun	[τῶ]ι Ἀριστολόχου μετ̣ρ̣ή̣σει δικαίαι καί̣
bgu.10.1946	6	6	[τὸ]	[Ὀ]ν̣νώφριος	noun	[τὸ] [Ὀ]ν̣νώφριος μέρος ἐφ̣ʼ ὧι
bgu.10.1946	11	11	[τὰ]	[Εὐπόλεως]	noun	[τὰ] [Εὐπόλεως] [ἰδίοι]ς ἀνηλώμασιν .
bgu.10.1946	12	12-13	ἡ	πρά-[ξις]	noun	ἡ πρά-[ξις] [ἔστω] [Εὐπόλει] [παρὰ]
bgu.10.1952	2	2	τὰ	Δ[η]μητρίου	noun	τὰ Δ[η]μητρίου ἰδίω[ι] [ἀναλώματι] [.]
bgu.10.1957_2	17	17	τὸ	Πτεροφόρου	noun	τὸ Πτεροφόρου ἐποίκιον |gap=unknown| Πτ̣[ολεμαίῳ]
bgu.10.1958_1	12	12	τῶ̣ι̣	[Ἀρισ]τολόχου	noun	τῶ̣ι̣ [Ἀρισ]τολόχου καὶ Στράτωνος πατρί
